Field	en	af	my	et	et-placeholders	et	et-placeholders	fi	fi-placeholders	fi	fi-placeholders	fi	fi-placeholders	fr	fr-placeholders	fr	fr-placeholders	fr	fr-placeholders	he	he-placeholders	he	he-placeholders	it	it-placeholders	it	it-placeholders	jv	es	es-placeholders	es	es-placeholders	sw	th	uk	uk-placeholders	uk	uk-placeholders	uk	uk-placeholders	uk	uk-placeholders	qu	qu-placeholders	ur	ur-placeholders	ur	ur-placeholders	eu	ar	bg	bg-placeholders	bg	bg-placeholders	bg	bg-placeholders	bn	nl	nl-placeholders	nl	nl-placeholders	zh	de	de-placeholders	de	de-placeholders	de	de-placeholders	ka	hi	hi-placeholders	hi	hi-placeholders	ht	id	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ja	ja-placeholders	ja	ja-placeholders	ta	ta-placeholders	ta	ta-placeholders	ta	ta-placeholders	ta	ta-placeholders	kk	fa	fa-placeholders	fa	fa-placeholders	fa	fa-placeholders	ko	pl	pl-placeholders	pl	pl-placeholders	pl	pl-placeholders	pl	pl-placeholders	pl	pl-placeholders	pl	pl-placeholders	hu	hu-placeholders	hu	hu-placeholders	pt	pt-placeholders	pt	pt-placeholders	ms	az	el	el-placeholders	el	el-placeholders	el	el-placeholders	gu	ha	lt	lt-placeholders	lt	lt-placeholders	lt	lt-placeholders	ml	mr	mr-placeholders	mr	mr-placeholders	mr	mr-placeholders	pa	pa-placeholders	pa	pa-placeholders	tl	te	tr	tr-placeholders	tr	tr-placeholders	vi	vi-placeholders	vi	vi-placeholders	vi	vi-placeholders	vi	vi-placeholders	wo	yo	yo-placeholders	yo	yo-placeholders
nationality	Brazilian	Brasiliaans	ဘာရာဇီးလူမျိုး	brasiillane				brasilialainen						brésilien	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	brésilienne	an actress, a waitress			ברזילאי	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	ברזילאית	an actress, a waitress	brasiliano	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	brasiliana	an actress, a waitress	Brasil	brasileño	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	brasileña	an actress, a waitress	Brazili	ชาวบราซิล	бразилець	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	бразилка	an actress, a waitress					Brasil		برازیلی				brasildarra	برازيلي	бразилска						ব্রাজিলিয়ান	Braziliaans				巴西人	brasilianisch						ბრაზილიელი	ब्राज़ीलियाई				Brezilyen	Brasil	бразилец	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an actress, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, a waitress, an economist, a reporter, an engineer, a historian	бразильянка	an actress, a waitress													ブラジル人				பிரேசிலியன்								бразилиялық	برزیلی						브라질	Brazylijczyk												brazil				brasileiro	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	brasileira	an actress, a waitress	Brazil	braziliyalıdır	Βραζιλιάνος	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	Βραζιλιάνα	waitress, actress			બ્રાઝિલિયન	Ɗan Brazil	brazilas	model, agent, author, analyst, journalist, producer, accountant, investor, actor, intern, photographer, interpreter, administrator, nurse, investigator, educator, executive, organizer, assistant, artist, architect, editor, escort, activist, DJ, attorney, secretary, entrepreneur, economist, reporter, engineer, historian	brazilė	actress, waitress			ബ്രസീലിയൻ	ब्राझिलियन						ਬ੍ਰਾਜ਼ੀਲੀਅਨ				Brazilian	బ్రెజిలియన్	Brezilyalı				Bra-xin								Beresiliyee	Ara Biràsílíà			
nationality	Nigerian	Nigeries	နိုင်ဂျီးရီးယားလူမျိုး	nigeerlane				nigerialainen						nigérian	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	nigériane	an actress, a waitress			ניגרי	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	ניגרית	an actress, a waitress	nigeriano	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	nigeriana	an actress, a waitress	Nigeria	nigeriano	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	nigeriana	an actress, a waitress	Nijeria	ชาวไนจีเรีย	нігерієць	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	нігерійка	an actress, a waitress					Nigeria		نائجیرین				nigeriarra	نيجيري	нигерийска						নাইজেরিয়ান	Nigeriaans				尼日利亚人	nigerianisch						ნიგერიელი	नाइजीरियाई				Nijeryen	Nigeria	нигериец	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an actress, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, a waitress, an economist, a reporter, an engineer, a historian	нигерийка	an actress, a waitress													ナイジェリア人				நைஜீரியன்								нигериялық	نیجریه‌ای						나이지리아	Nigeryjczyk												nigériai				nigeriano	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	nigeriana	an actress, a waitress	Nigeria	nigeriyalıdır	Νιγηριανός	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	Νιγηριανή	waitress, actress			નાઇઝિરિયન	Ɗan Nijeriya	nigerietis	model, agent, author, analyst, journalist, producer, accountant, investor, actor, intern, photographer, interpreter, administrator, nurse, investigator, educator, executive, organizer, assistant, artist, architect, editor, escort, activist, DJ, attorney, secretary, entrepreneur, economist, reporter, engineer, historian	nigerietė	actress, waitress			നൈജീരിയൻ	नायजेरियन						ਨਾਈਜੇਰੀਅਨ				Nigerian	నైజీరియన్	Nijeryalı				Ni-giê-ri-a								Niseriyee	Ará Nàìjíríà			
nationality	Bangladeshi	Bangladesji	ဘဂ်လားလူမျိူး	bangladeshlane				bangladeshilainen						bengali	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	bengalie	an actress, a waitress			בנגלדשי	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	בנגלדשית	an actress, a waitress	bengalese				Bangladesh	bangladesí				Bangladeshi	ชาวบังกลาเทศ	бангладешець	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	бангладешська	an actress, a waitress					Bangladesh		بنگلہ دیشی				bangladeshtarra	بنجلاديشي	бангладешска						বাংলাদেশী	Bengalees				孟加拉人	bangladeschisch						ბანგლადეშელი	बांग्लादेशी				Bangladechit	Banglades	бангладешец	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an actress, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, a waitress, an economist, a reporter, an engineer, a historian	бангладешка	an actress, a waitress													バングラデシュ人				பங்களாதேஷி								бангладештік	بنگلادشی						방글라데시	Banglijczyk												bangladesi				bengali				Bangladesh	banqladeşlidir	Μπαγκλαντεσιανός	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	Μπαγκλαντεσιανή	waitress, actress			બાંગ્લાદેશી	Ɗan Bangladesh	bangladešietis	model, agent, author, analyst, journalist, producer, accountant, investor, actor, intern, photographer, interpreter, administrator, nurse, investigator, educator, executive, organizer, assistant, artist, architect, editor, escort, activist, DJ, attorney, secretary, entrepreneur, economist, reporter, engineer, historian	bangladešietė	actress, waitress			ബംഗ്ലാദേശി	बांगलादेशी						ਬੰਗਲਾਦੇਸ਼ੀ				Bangladeshi	బంగ్లాదేశీయుడు	Bangladeşli				Băng-la-đét								Waa Bengalades	Ará Bángíládẹ́shi			
nationality	Russian	Russies	ရုရှားလူမျိုး	venelane				venäläinen						russe						רוסי	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	רוסייה	an actress, a waitress	russo	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	russa	an actress, a waitress	Rusia	ruso	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	rusa	an actress, a waitress	Urusi	ชาวรัสเซีย	росіянин	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	росіянка	an actress, a waitress					Rusia		روسی				errusiarra	روسي	руска						রুশ	Russisch				俄罗斯人	russisch						რუსი	रूसी				Ris	Rusia	русский	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an actress, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, a waitress, an economist, a reporter, an engineer, a historian	русская	an actress, a waitress													ロシア人				ரஷ்யன்								орыс	روس						러시아	Rosjanin												orosz				russo	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	russa	an actress, a waitress	Rusia	rusiyalıdır	Ρώσος	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	Ρωσίδα	waitress, actress			રશિયન	Ɗan Rasha	rusas	model, agent, author, analyst, journalist, producer, accountant, investor, actor, intern, photographer, interpreter, administrator, nurse, investigator, educator, executive, organizer, assistant, artist, architect, editor, escort, activist, DJ, attorney, secretary, entrepreneur, economist, reporter, engineer, historian	rusė	actress, waitress			റഷ്യൻ	रशियन						ਰੂਸੀ				Russian	రష్యన్	Rus				Nga								Waa Risi	Ará Rọ́shíà			
nationality	Japanese	Japannees	ဂျပန်လူမျိုး	jaapanlane				japanilainen						japonais	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	japonaise	an actress, a waitress			יפני	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	יפנית	an actress, a waitress	giapponese				Jepang	japonés	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	japonesa	an actress, a waitress	Japani	ชาวญี่ปุ่น	японець	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	японка	an actress, a waitress					Japón		جاپانی				japoniarra	ياباني	японска						জাপানি	Japans				日本人	japanisch						იაპონელი	जापानी				Japonè	Jepang	японец	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an actress, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, a waitress, an economist, a reporter, an engineer, a historian	японка	an actress, a waitress													日本人				ஜப்பானியர்								жапон	ژاپنی						일본	Japończyk												japán				japonês	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	japonesa	an actress, a waitress	Jepun	yaponiyalıdır	Ιάπωνας	a model, an agent, an author, an analyst, a journalist, a producer, an accountant, an investor, an actor, an intern, a photographer, an interpreter, an administrator, a nurse, an investigator, an educator, an executive, an organizer, an assistant, an artist, an architect, an editor, an escort, an activist, a DJ, an attorney, a secretary, an entrepreneur, an economist, a reporter, an engineer, a historian	Ιαπωνέζα	waitress, actress			જાપાનિસ	Ɗan Japan	japonas	model, agent, author, analyst, journalist, producer, accountant, investor, actor, intern, photographer, interpreter, administrator, nurse, investigator, educator, executive, organizer, assistant, artist, architect, editor, escort, activist, DJ, attorney, secretary, entrepreneur, economist, reporter, engineer, historian	japonė	actress, waitress			ജാപ്പനീസ്	जपानी						ਜਪਾਨੀ				Hapon	జపనీస్	Japon				Nhật								Sapone	Ará Jèpán			
profession	a model	’n model	ပုံစံငယ် တစ်ခု	modell				malli						mannequin						דוגמן				un modello				model	un modelo				mwanamitindo	นางแบบ	модель								modelom		ماڈل				modeloa	موديل	модел						একজন মডেল	een model				一位模特	ein Model						მოდელი	एक मॉडल				yon modèl	model	модель																モデル				ஒரு மாடல்								модель	یک مدل						모델	model												modell				um modelo				model	modeldir	μοντέλο						મોડલ	abin koyi	modelis						ഒരു മോഡൽ	एक मॉडेल						ਇੱਕ ਮਾਡਲ				modelo	మోడల్	bir model				một người mẫu								ab royuwaay	àwòse kan			
profession	an agent	’n agent	ကိုယ်စားလှယ် တစ်ယောက်	agent				asiamies						agent						סוכן				un agente				agen	un agente				dalali	นายหน้า	агент								kamayniyuqmi		ایجنٹ				agentea	وكيل	агент						একজন এজেন্ট	een agent				一位代理人	ein Vertreter						აგენტი	एक एजेंट				yon ajan	agen	агент																政府職員				ஒரு முகவர்								агент	یک کارگزار						에이전트	przedstawiciel handlowy												ügynök				um agente				ejen	agentdir	ατζέντης						દલાલ	wakili	agentas						ഒരു ഏജന്റ്	एक अभिकर्ता						ਇੱਕ ਏਜੰਟ				agente	ఏజెంట్	bir ajan				một người đại diện								ab liggéeykat	asojú kan			
profession	an author	’n skrywer	စာရေးဆရာ တစ်ဦး	kirjanik				kirjailija						auteur						סופר				un autore				penulis	un autor				mwandishi	นักเขียน	автор								ruwaqmi		مصنف				egilea	مؤلف	автор						একজন লেখক	een auteur				一位作家	ein Autor						მწერალი	एक लेखक				yon otè	pengarang	писатель																作家				ஒரு நூலாசிரியர்								автор	یک نویسنده						작가	autor/twórca												író				um autor				pengarang	müəllifdir	συγγραφέας						લેખક	marubuci	autorius						ഒരു എഴുത്തുകാരൻ	एक लेखक						ਇੱਕ ਲੇਖਕ				awtor	రచయిత	bir yazar				một tác giả văn học								ab bindkat	ònkọ̀wé kan			
profession	an analyst	’n ontleder	စီစစ်သူ တစ်ဦး	analüütik				analyytikko						analyste						אנליסט				un analista				analis	un analista				mchanganuzi	นักวิเคราะห์	аналітик								qawariqmi		تجزیہ کار				analista	محلل	анализатор						একজন বিশ্লেষক	een analist				一位分析师	ein Analyst						ანალიტიკოსი	एक विश्लेषक				yon analis	analis	аналитик																アナリスト				ஒரு பகுப்பாய்வாளர்								аналитик	یک تحلیلگر						분석가	analityk												elemző				um analista				penganalisis	təhlilçidir	αναλυτής						વિશ્લેષક	mai nazari	analitikas						ഒരു അനലിസ്റ്റ്	एक विश्लेषक						ਇੱਕ ਵਿਸ਼ਲੇਸ਼ਕ				analyst	విశ్లేషకుడు	bir analizci				một nhà phân tích								ab cambarkat	olùyanjú kan			
profession	a journalist	’n joernalis	သတင်းစာဆရာ တစ်ဦး	ajakirjanik				journalisti						journaliste						עיתונאי				un giornalista				jurnalis	un periodista				mwanahabari	นักข่าว	журналіст								riqsichiqmi		صحافی				kazetaria	صحفي	журналист						একজন সাংবাদিক	een journalist				一位新闻工作者	ein Journalist						ჟურნალისტი	एक पत्रकार				yon jounalis	jurnalis	журналист																ジャーナリスト				ஒரு பத்திரிக்கையாளர்								журналист	یک روزنامه‌نگار						언론인	dziennikarz												újságíró				um jornalista				wartawan	jurnalistdir	δημοσιογράφος						પત્રકાર	ɗan jarida	žurnalistas						ഒരു പത്രപ്രവർത്തകൻ	एक पत्रकार						ਇੱਕ ਪੱਤਰਕਾਰ				mamamahayag	జర్నలిస్ట్	bir gazeteci				một nhà báo								ab surnaalist	onisẹ-ìròhìn kan			
profession	a producer	’n produsent	ထုတ်လုပ်သူ တစ်ဦး	produtsent				tuottaja						producteur						מפיק				un produttore				produser	un productor				mtayarishaji	ผู้อำนวยการสร้าง	продюсер								ruwachiqmi		پروڈیوسر				ekoizlea	منتج	продуцент						একজন প্রযোজক	een producent				一位制作人	ein Produzent						პროდიუსერი	एक निर्माता				yon pwodiktè	produser	продюсер																プロデューサー				ஒரு தயாரிப்பாளர்								продюсер	یک تهیه‌کننده						프로듀서	producent												producer				um produtor				produser	prodüserdir	παραγωγός						નિર્માતા	mai samarwa	laidų rengėjas						ഒരു നിർമ്മാതാവ്	एक निर्माता						ਇੱਕ ਨਿਰਮਾਤਾ				prodyuser	నిర్మాత	bir yapımcı				một nhà sản xuất								ab defarkat	asàgbéjáde kan			
profession	an accountant	’n rekenmeester	စရင်းကိုင် တစ်ဦး	raamatupidaja				kirjanpitäjä						comptable						רואה חשבון				un ragioniere				akuntan	un contable				mhasibu	นักบัญชี	бухгалтер								yupaqmi		اکاؤنٹنٹ				kontularia	محاسب	счетоводител						একজন হিসাবরক্ষক	een accountant				一位会计师	ein Buchhalter						ბუღალტერი	एक अकाउंटेंट				yon kontab	akuntan	бухгалтер																会計士				ஒரு கணக்காளர்								есепші	یک حسابدار						회계사	księgowy												könyvelő				um contador				akauntan	mühasibdir	λογιστής						હિસાબનીશ	akawu	buhalteris						ഒരു അക്കൗണ്ടന്റ്	एक लेखापाल						ਇੱਕ ਲੇਖਾਕਾਰ				accountant	అకౌంటెంట్	bir muhasebeci				một kế toán								ab kontaabal	onisirò kan			
profession	an investor	’n belegger	ရင်းနှီးမြှုပ်နှံသူ တစ်ဦး	investor				sijoittaja						investisseur						משקיע				un investitore				investor	un inversionista				mwekezaji	นักลงทุน	інвестор								qullqi churaqmi		سرمایہ کار				inbestitzailea	مستثمر	инвеститор						একজন বিনিয়োগকারী	een investeerder				一位投资者	ein Investor						ინვესტორი	एक निवेशक				yon envestisè	investor	инвестор																投資家				ஒரு முதலீட்டாளர்								инвестор	یک سرمایه‌گذار						투자자	inwestor												befektető				um investidor				pelabur	sərmayədardır	επενδυτής						રોકાણકાર	mai saka jari	investuotojas						ഒരു നിക്ഷേപകൻ	एक गुंतवणूकदार						ਇੱਕ ਨਿਵੇਸ਼ਕ				mamumuhunan	పెట్టుబడిదారుడు	bir yatırımcı				một nhà phát minh								ab ewestisër	olùdókòwò kan			
profession	an actor	’n akteur	သရုပ်ဆောင် တစ်ဦး	näitleja				näyttelijä						acteur						שחקן				un attore				aktor	un actor				mwigizaji	นักแสดงชาย	актор								pukllaqmi		اداکار				aktorea	ممثل	актьор						একজন অভিনেতা	een acteur				一位男演员	ein Schauspieler						მსახიობი	एक अभिनेता				yon aktè	aktor	актер																俳優				ஒரு நடிகர்								әртіс	یک بازیگر						배우	aktor												színész				um ator				pelakon lelaki	aktyordur	ηθοποιός						અભિનેતા	ɗan wasan kwaikwayo	aktorius						ഒരു അഭിനേതാവ്	एक अभिनेता						ਇੱਕ ਅਭਿਨੇਤਾ				aktor	నటుడు	bir aktör				một nam diễn viên								ab aktëër	òsèré 'kunrin kan			
profession	an intern	’n vakleerling	အလုပ်သင်ကျောင်းသား တစ်ဦး	praktikant				harjoittelija						stagiaire						מתמחה				uno stagista				pegawe magang	un interno				mkufunzi	เด็กฝึกงาน	інтерн								yachapakuqmi		انٹرن				bekaduna	متدرب	стажант						একজন শিক্ষানবিশ	een stagiair				一位实习生	ein Praktikant						ინტერნი	एक प्रशिक्षु				yon estajyè	karyawan magang	стажер																実習生				ஒரு இன்டெர்ன்								интерн	یک کارآموز						인턴	stażysta												gyakornok				um estagiário				intern	təcrübəçidir	ασκούμενος						ઇન્ટર્ન	mai koyo	stažuotojas						ഒരു ഇന്റേൺ	एक अंर्तवासी						ਇੱਕ ਇੰਟਰਨ				interna	ఇంటర్న్	bir stajyer				một thực tập sinh								ab estasiyeer	òsisẹ́ tuntun kan tó nse amúgbálẹ́gbẹ̀ẹ́			
profession	a photographer	’n fotograaf	ဓာတ်ပုံဆရာ တစ်ဦး	fotograaf				valokuvaaja						photographe						צלם				un fotografo				juru poto	un fotógrafo				mpiga picha	ช่างภาพ	фотограф								fotografom		فوٹوگرافر				argazkilaria	مصور	фотограф						একজন আলোকচিত্রী	een fotograaf				一位摄影师	ein Fotograf						ფოტოგრაფი	एक फोटोग्राफर				yon fotograf	fotografer	фотограф																写真家				ஒரு புகைப்படக் கலைஞர்								фотограф	یک عکاس						사진작가	fotograf												fényképész				um fotógrafo				jurugambar	fotoqrafdır	φωτογράφος						ફોટોગ્રાફર	mai ɗaukar hoto	fotografas						ഒരു ഫോട്ടോഗ്രാഫർ	एक छायाचित्रकार						ਇੱਕ ਫੋਟੋਗ੍ਰਾਫਰ				litratista	ఫోటోగ్రాఫర్	bir fotoğrafçı				một nhiếp ảnh gia								ab fotogaraaf	olùyàwòrán kan			
profession	an interpreter	’n tolk	စကားပြန် တစ်ဦး	tõlk				tulkki						interprète						מתורגמן				un interprete				juru basa	un intérprete				mkalimani	ล่าม	усний перекладач								simi tikraqmi		ترجمان				interpretea	مترجم	преводач						একজন দোভাষী	een tolk				一位口译工作者	ein Dolmetscher						თარჯიმანი	एक दुभाषिया				yon entèprèt	jurubahasa	переводчик-синхронист																通訳				ஒரு உரைப்பெயர்ப்பாளர்								аудармашы	یک مترجم شفاهی						통역사	tłumacz ustny												tolmács				um intérprete				jurubahasa	şifahi tərcüməçidir	διερμηνέας						દુભાષિયા	mai fassara	vertėjas žodžiu						ഒരു വ്യാഖ്യാതാവ്	एक दुभाषी						ਇੱਕ ਦੁਭਾਸ਼ੀਆ				tagapagsalin	దుబాషి	bir tercüman				một phiên dịch viên								ab firikat	ògbufọ kan			
